"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout","hunt_label","scenario_label","p1_red_pct","farm_red_pct"
0,0.95,0.2,"spillover",0.00932779099858184,0.96,"eta[h]==0.20","Spillover",0,95
0,0.95,0.5,"spillover",0.0152559006630396,0.944,"eta[h]==0.50","Spillover",0,95
0,0.95,0.95,"spillover",0.011334442983078,0.956,"eta[h]==0.95","Spillover",0,95
0,1,0.2,"spillover",0,1,"eta[h]==0.20","Spillover",0,100
0,1,0.5,"spillover",0,1,"eta[h]==0.50","Spillover",0,100
0,1,0.95,"spillover",0,1,"eta[h]==0.95","Spillover",0,100
0.05,0,0.2,"spillover",0.187612056237568,0.244,"eta[h]==0.20","Spillover",5,0
0.05,0,0.5,"spillover",0.164175761850254,0.232,"eta[h]==0.50","Spillover",5,0
0.05,0,0.95,"spillover",0.175765299588688,0.268,"eta[h]==0.95","Spillover",5,0
0.05,0.05,0.2,"spillover",0.163405381899298,0.276,"eta[h]==0.20","Spillover",5,5
0.05,0.05,0.5,"spillover",0.168899953303421,0.288,"eta[h]==0.50","Spillover",5,5
0.05,0.05,0.95,"spillover",0.173360304870507,0.312,"eta[h]==0.95","Spillover",5,5
0.05,0.1,0.2,"spillover",0.165830163416086,0.268,"eta[h]==0.20","Spillover",5,10
0.05,0.1,0.5,"spillover",0.155357135533526,0.356,"eta[h]==0.50","Spillover",5,10
0.05,0.1,0.95,"spillover",0.1534103558381,0.38,"eta[h]==0.95","Spillover",5,10
0.05,0.15,0.2,"spillover",0.144949225932225,0.384,"eta[h]==0.20","Spillover",5,15
0.05,0.15,0.5,"spillover",0.170665972768843,0.368,"eta[h]==0.50","Spillover",5,15
0.05,0.15,0.95,"spillover",0.145376776831246,0.36,"eta[h]==0.95","Spillover",5,15
0.05,0.2,0.2,"spillover",0.156497378242581,0.372,"eta[h]==0.20","Spillover",5,20
0.05,0.2,0.5,"spillover",0.148235183579218,0.416,"eta[h]==0.50","Spillover",5,20
0.05,0.2,0.95,"spillover",0.149004291252206,0.36,"eta[h]==0.95","Spillover",5,20
0.05,0.25,0.2,"spillover",0.129063690491322,0.38,"eta[h]==0.20","Spillover",5,25
0.05,0.25,0.5,"spillover",0.147568298969866,0.356,"eta[h]==0.50","Spillover",5,25
0.05,0.25,0.95,"spillover",0.124266544227049,0.408,"eta[h]==0.95","Spillover",5,25
0.05,0.3,0.2,"spillover",0.134389440402912,0.444,"eta[h]==0.20","Spillover",5,30
0.05,0.3,0.5,"spillover",0.126076984968056,0.42,"eta[h]==0.50","Spillover",5,30
0.05,0.3,0.95,"spillover",0.127479931921141,0.416,"eta[h]==0.95","Spillover",5,30
0.05,0.35,0.2,"spillover",0.106771415056712,0.476,"eta[h]==0.20","Spillover",5,35
0.05,0.35,0.5,"spillover",0.13061840518749,0.472,"eta[h]==0.50","Spillover",5,35
0.05,0.35,0.95,"spillover",0.118055109008554,0.448,"eta[h]==0.95","Spillover",5,35
0.05,0.4,0.2,"spillover",0.102055819056049,0.484,"eta[h]==0.20","Spillover",5,40
0.05,0.4,0.5,"spillover",0.102691539494407,0.46,"eta[h]==0.50","Spillover",5,40
0.05,0.4,0.95,"spillover",0.0941090132639593,0.524,"eta[h]==0.95","Spillover",5,40
0.05,0.45,0.2,"spillover",0.105929690232059,0.556,"eta[h]==0.20","Spillover",5,45
0.05,0.45,0.5,"spillover",0.106513065936122,0.472,"eta[h]==0.50","Spillover",5,45
0.05,0.45,0.95,"spillover",0.0894586679455798,0.52,"eta[h]==0.95","Spillover",5,45
0.05,0.5,0.2,"spillover",0.0873151225679687,0.564,"eta[h]==0.20","Spillover",5,50
0.05,0.5,0.5,"spillover",0.0953207421626305,0.524,"eta[h]==0.50","Spillover",5,50
0.05,0.5,0.95,"spillover",0.0960343718522816,0.548,"eta[h]==0.95","Spillover",5,50
0.05,0.55,0.2,"spillover",0.0832236064081544,0.596,"eta[h]==0.20","Spillover",5,55
0.05,0.55,0.5,"spillover",0.0881706161826951,0.576,"eta[h]==0.50","Spillover",5,55
0.05,0.55,0.95,"spillover",0.0799778522341991,0.584,"eta[h]==0.95","Spillover",5,55
0.05,0.6,0.2,"spillover",0.0639208682535987,0.612,"eta[h]==0.20","Spillover",5,60
0.05,0.6,0.5,"spillover",0.0647639032809241,0.644,"eta[h]==0.50","Spillover",5,60
0.05,0.6,0.95,"spillover",0.0726438648930338,0.64,"eta[h]==0.95","Spillover",5,60
0.05,0.65,0.2,"spillover",0.0623646516067227,0.696,"eta[h]==0.20","Spillover",5,65
0.05,0.65,0.5,"spillover",0.0608798373551725,0.68,"eta[h]==0.50","Spillover",5,65
0.05,0.65,0.95,"spillover",0.0542178069924263,0.724,"eta[h]==0.95","Spillover",5,65
0.05,0.7,0.2,"spillover",0.0624166558015674,0.688,"eta[h]==0.20","Spillover",5,70
0.05,0.7,0.5,"spillover",0.052580831996637,0.664,"eta[h]==0.50","Spillover",5,70
0.05,0.7,0.95,"spillover",0.0432456840107323,0.708,"eta[h]==0.95","Spillover",5,70
0.05,0.75,0.2,"spillover",0.0353537756026844,0.732,"eta[h]==0.20","Spillover",5,75
0.05,0.75,0.5,"spillover",0.0565318613751564,0.74,"eta[h]==0.50","Spillover",5,75
0.05,0.75,0.95,"spillover",0.0482158165012936,0.764,"eta[h]==0.95","Spillover",5,75
0.05,0.8,0.2,"spillover",0.0444263672455952,0.784,"eta[h]==0.20","Spillover",5,80
0.05,0.8,0.5,"spillover",0.0439132151783311,0.752,"eta[h]==0.50","Spillover",5,80
0.05,0.8,0.95,"spillover",0.042064514281366,0.812,"eta[h]==0.95","Spillover",5,80
0.05,0.85,0.2,"spillover",0.0246088218520965,0.88,"eta[h]==0.20","Spillover",5,85
0.05,0.85,0.5,"spillover",0.0286642322698282,0.868,"eta[h]==0.50","Spillover",5,85
0.05,0.85,0.95,"spillover",0.023987238244815,0.824,"eta[h]==0.95","Spillover",5,85
0.05,0.9,0.2,"spillover",0.0137586603766812,0.876,"eta[h]==0.20","Spillover",5,90
0.05,0.9,0.5,"spillover",0.0128507049150138,0.908,"eta[h]==0.50","Spillover",5,90
0.05,0.9,0.95,"spillover",0.0148565920371581,0.896,"eta[h]==0.95","Spillover",5,90
0.05,0.95,0.2,"spillover",0.0101016890196096,0.952,"eta[h]==0.20","Spillover",5,95
0.05,0.95,0.5,"spillover",0.0067018217564649,0.964,"eta[h]==0.50","Spillover",5,95
0.05,0.95,0.95,"spillover",0.0145196788097947,0.964,"eta[h]==0.95","Spillover",5,95
0.05,1,0.2,"spillover",0,1,"eta[h]==0.20","Spillover",5,100
0.05,1,0.5,"spillover",0,1,"eta[h]==0.50","Spillover",5,100
0.05,1,0.95,"spillover",0,1,"eta[h]==0.95","Spillover",5,100
0.1,0,0.2,"spillover",0.172813785864172,0.272,"eta[h]==0.20","Spillover",10,0
0.1,0,0.5,"spillover",0.17132555153179,0.316,"eta[h]==0.50","Spillover",10,0
0.1,0,0.95,"spillover",0.184538387602411,0.284,"eta[h]==0.95","Spillover",10,0
0.1,0.05,0.2,"spillover",0.159918618329657,0.316,"eta[h]==0.20","Spillover",10,5
0.1,0.05,0.5,"spillover",0.1746207643867,0.296,"eta[h]==0.50","Spillover",10,5
0.1,0.05,0.95,"spillover",0.150101106530194,0.292,"eta[h]==0.95","Spillover",10,5
0.1,0.1,0.2,"spillover",0.175689005837239,0.372,"eta[h]==0.20","Spillover",10,10
0.1,0.1,0.5,"spillover",0.161047620471021,0.42,"eta[h]==0.50","Spillover",10,10
0.1,0.1,0.95,"spillover",0.145831406413988,0.316,"eta[h]==0.95","Spillover",10,10
0.1,0.15,0.2,"spillover",0.155144101544594,0.384,"eta[h]==0.20","Spillover",10,15
0.1,0.15,0.5,"spillover",0.15122388197716,0.348,"eta[h]==0.50","Spillover",10,15
0.1,0.15,0.95,"spillover",0.136669442558834,0.332,"eta[h]==0.95","Spillover",10,15
0.1,0.2,0.2,"spillover",0.13896959088941,0.304,"eta[h]==0.20","Spillover",10,20
0.1,0.2,0.5,"spillover",0.146560792822751,0.284,"eta[h]==0.50","Spillover",10,20
0.1,0.2,0.95,"spillover",0.140420995851804,0.328,"eta[h]==0.95","Spillover",10,20
0.1,0.25,0.2,"spillover",0.136765449118186,0.392,"eta[h]==0.20","Spillover",10,25
0.1,0.25,0.5,"spillover",0.131952806472441,0.356,"eta[h]==0.50","Spillover",10,25
0.1,0.25,0.95,"spillover",0.151099705325902,0.432,"eta[h]==0.95","Spillover",10,25
0.1,0.3,0.2,"spillover",0.131697621386656,0.432,"eta[h]==0.20","Spillover",10,30
