"","size","prop_ss","phi","mean_prev","fadeout"
"1",250,0,1,0.000108927766255931,0.996
"2",250,0,2.63333333333333,0.000156656251385416,0.998
"3",250,0,4.26666666666667,9.67210431702911e-05,0.996
"4",250,0,5.9,0.000117074526315362,1
"5",250,0,7.53333333333333,0.000219710528707573,0.996
"6",250,0,9.16666666666667,0.000103267597296178,0.994
"7",250,0,10.8,0.000111502472680203,0.994
"8",250,0,12.4333333333333,9.62530843859071e-05,0.992
"9",250,0,14.0666666666667,7.89761452586439e-05,0.996
"10",250,0,15.7,0.000145964185178713,0.998
"11",250,0,17.3333333333333,0.000117010009299023,0.998
"12",250,0,18.9666666666667,9.71923396001917e-05,0.996
"13",250,0,20.6,0.000137836791343772,0.996
"14",250,0,22.2333333333333,0.000110403427592249,0.996
"15",250,0,23.8666666666667,0.000139019203457796,1
"16",250,0,25.5,7.83492412058225e-05,0.994
"17",250,0,27.1333333333333,0.000115731140174351,1
"18",250,0,28.7666666666667,0.000121554375660597,0.998
"19",250,0,30.4,0.000110857009723287,0.996
"20",250,0,32.0333333333333,0.000123412934367341,0.998
"21",250,0,33.6666666666667,0.000138606331552496,0.992
"22",250,0,35.3,9.76270512421904e-05,0.996
"23",250,0,36.9333333333333,5.4684522576556e-05,0.996
"24",250,0,38.5666666666667,0.000169569775019226,0.984
"25",250,0,40.2,0.000127770491792568,0.992
"26",250,0,41.8333333333333,0.000126705723339805,0.994
"27",250,0,43.4666666666667,0.000128304495802191,1
"28",250,0,45.1,9.14574501251104e-05,1
"29",250,0,46.7333333333333,0.00015973941103046,0.998
"30",250,0,48.3666666666667,8.63663321743547e-05,1
"31",250,0,50,0.000116649875987677,1
"32",250,0.0333333333333333,1,0.00010886535438205,0.996
"33",250,0.0333333333333333,2.63333333333333,0.000128385980359657,0.996
"34",250,0.0333333333333333,4.26666666666667,0.000157974771080764,0.996
"35",250,0.0333333333333333,5.9,0.000122828268019357,0.996
"36",250,0.0333333333333333,7.53333333333333,0.000103020293580342,0.998
"37",250,0.0333333333333333,9.16666666666667,0.000175372481156983,0.992
"38",250,0.0333333333333333,10.8,0.000137037313957174,1
"39",250,0.0333333333333333,12.4333333333333,9.74167716509195e-05,0.996
