"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0.05,0.55,0.2,"spillover",8.51946337002124e-05,0.998
0.05,0.55,0.5,"spillover",5.93397653323967e-05,0.998
0.05,0.55,0.95,"spillover",2.64557649236692e-05,0.998
0.05,0.6,0.2,"spillover",5.85118371249594e-05,0.998
0.05,0.6,0.5,"spillover",3.64542847012074e-05,1
0.05,0.6,0.95,"spillover",4.79268334436466e-05,0.998
0.05,0.65,0.2,"spillover",4.23315267811337e-05,0.994
0.05,0.65,0.5,"spillover",1.58680885023596e-05,1
0.05,0.65,0.95,"spillover",5.28110538955951e-05,1
0.05,0.7,0.2,"spillover",4.2216666030924e-05,0.998
0.05,0.7,0.5,"spillover",1.08853410740203e-05,1
0.05,0.7,0.95,"spillover",3.26190377216506e-05,0.998
0.05,0.75,0.2,"spillover",2.60599483165044e-05,1
0.05,0.75,0.5,"spillover",3.83857966880676e-05,0.998
0.05,0.75,0.95,"spillover",2.72232766426929e-05,1
0.05,0.8,0.2,"spillover",1.59049256936314e-05,1
0.05,0.8,0.5,"spillover",1.6121438370219e-05,1
0.05,0.8,0.95,"spillover",3.7801025940718e-05,0.996
0.05,0.85,0.2,"spillover",1.08901795768387e-05,1
0.05,0.85,0.5,"spillover",5.31914893617021e-06,1
0.05,0.85,0.95,"spillover",2.64275547960437e-05,1
0.05,0.9,0.2,"spillover",1.09741227475952e-05,1
0.05,0.9,0.5,"spillover",1.5836521956473e-05,1
0.05,0.9,0.95,"spillover",0,1
0.05,0.95,0.2,"spillover",1.55534265623518e-05,1
0.05,0.95,0.5,"spillover",0,1
0.05,0.95,0.95,"spillover",5.20833333333333e-06,1
0.05,1,0.2,"spillover",0,1
0.05,1,0.5,"spillover",0,1
0.05,1,0.95,"spillover",0,1
0.1,0,0.2,"spillover",0.000110895539278074,0.994
0.1,0,0.5,"spillover",0.000116409051494594,0.996
0.1,0,0.95,"spillover",9.13012925873416e-05,0.998
0.1,0.05,0.2,"spillover",0.00012812613178559,0.994
0.1,0.05,0.5,"spillover",0.000112627448432278,0.998
0.1,0.05,0.95,"spillover",0.000123727691635835,0.994
0.1,0.1,0.2,"spillover",9.06505994017584e-05,0.996
0.1,0.1,0.5,"spillover",0.000112595466457679,0.998
0.1,0.1,0.95,"spillover",9.6431081642747e-05,0.998
0.1,0.15,0.2,"spillover",0.000120623913004351,0.996
0.1,0.15,0.5,"spillover",0.000102377982684366,0.998
0.1,0.15,0.95,"spillover",8.0699194006305e-05,0.998
0.1,0.2,0.2,"spillover",8.40949789534123e-05,0.998
0.1,0.2,0.5,"spillover",0.000106375808676623,0.994
0.1,0.2,0.95,"spillover",0.000100373842660168,1
0.1,0.25,0.2,"spillover",8.05745179377401e-05,0.994
0.1,0.25,0.5,"spillover",6.45394591231428e-05,1
0.1,0.25,0.95,"spillover",8.12331725088037e-05,0.994
0.1,0.3,0.2,"spillover",8.44399848689215e-05,0.996
0.1,0.3,0.5,"spillover",8.98866573112578e-05,0.996
0.1,0.3,0.95,"spillover",6.34374623899303e-05,0.992
0.1,0.35,0.2,"spillover",5.31698558623496e-05,0.996
0.1,0.35,0.5,"spillover",6.97988107173888e-05,0.996
0.1,0.35,0.95,"spillover",6.93564995828158e-05,1
0.1,0.4,0.2,"spillover",0.000111896256348234,1
0.1,0.4,0.5,"spillover",0.000107880467229843,0.994
0.1,0.4,0.95,"spillover",4.78303829146104e-05,1
0.1,0.45,0.2,"spillover",2.63937621338746e-05,1
0.1,0.45,0.5,"spillover",6.41023340247985e-05,1
0.1,0.45,0.95,"spillover",4.25092724784122e-05,1
0.1,0.5,0.2,"spillover",5.44434943898885e-05,0.996
0.1,0.5,0.5,"spillover",4.84511314824891e-05,0.998
0.1,0.5,0.95,"spillover",4.34097460668071e-05,0.996
0.1,0.55,0.2,"spillover",8.06275945457258e-05,0.998
0.1,0.55,0.5,"spillover",5.75315747179267e-05,0.998
0.1,0.55,0.95,"spillover",6.49152844800733e-05,1
0.1,0.6,0.2,"spillover",4.81320430260891e-05,0.996
0.1,0.6,0.5,"spillover",4.87236802245208e-05,0.998
0.1,0.6,0.95,"spillover",3.71658846718555e-05,0.996
0.1,0.65,0.2,"spillover",4.24667472148096e-05,0.998
0.1,0.65,0.5,"spillover",4.82723229028839e-05,0.998
0.1,0.65,0.95,"spillover",3.75977476277236e-05,0.998
