"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0,0,0.0743811837714032,"spillover",0.176834576419339,0.294
0,0,0.231049060186648,"spillover",0.172736301267181,0.276
0,0,0.998577424517997,"spillover",0.16738264459542,0.314
0,0.05,0.0743811837714032,"spillover",0.169506896439489,0.312
0,0.05,0.231049060186648,"spillover",0.167099416931055,0.356
0,0.05,0.998577424517997,"spillover",0.173190344771138,0.318
0,0.1,0.0743811837714032,"spillover",0.165735481251513,0.338
0,0.1,0.231049060186648,"spillover",0.164749393408415,0.348
0,0.1,0.998577424517997,"spillover",0.161040672274972,0.334
0,0.15,0.0743811837714032,"spillover",0.153421424501067,0.336
0,0.15,0.231049060186648,"spillover",0.151963891951945,0.364
0,0.15,0.998577424517997,"spillover",0.157302863099619,0.388
0,0.2,0.0743811837714032,"spillover",0.144562526612106,0.376
0,0.2,0.231049060186648,"spillover",0.157152800132866,0.382
0,0.2,0.998577424517997,"spillover",0.13277935991158,0.41
0,0.25,0.0743811837714032,"spillover",0.131418900876821,0.382
0,0.25,0.231049060186648,"spillover",0.119318284494502,0.412
0,0.25,0.998577424517997,"spillover",0.139688439148727,0.416
0,0.3,0.0743811837714032,"spillover",0.120442358639511,0.408
0,0.3,0.231049060186648,"spillover",0.141916245800061,0.39
0,0.3,0.998577424517997,"spillover",0.117999367293905,0.41
0,0.35,0.0743811837714032,"spillover",0.111670904267009,0.442
0,0.35,0.231049060186648,"spillover",0.112258206275881,0.492
0,0.35,0.998577424517997,"spillover",0.106633758135775,0.398
0,0.4,0.0743811837714032,"spillover",0.117068277230794,0.468
0,0.4,0.231049060186648,"spillover",0.111405472074642,0.506
0,0.4,0.998577424517997,"spillover",0.118991685298296,0.502
0,0.45,0.0743811837714032,"spillover",0.109385580786248,0.508
0,0.45,0.231049060186648,"spillover",0.0986665784970902,0.494
0,0.45,0.998577424517997,"spillover",0.0934595857099157,0.546
0,0.5,0.0743811837714032,"spillover",0.0877856380310499,0.574
0,0.5,0.231049060186648,"spillover",0.103108716068096,0.534
0,0.5,0.998577424517997,"spillover",0.0892087786842522,0.534
0,0.55,0.0743811837714032,"spillover",0.087535521859366,0.592
0,0.55,0.231049060186648,"spillover",0.0802177699787611,0.606
0,0.55,0.998577424517997,"spillover",0.0794299640417426,0.562
0,0.6,0.0743811837714032,"spillover",0.0747778717922572,0.594
0,0.6,0.231049060186648,"spillover",0.063480313022723,0.648
0,0.6,0.998577424517997,"spillover",0.0670724328830557,0.624
0,0.65,0.0743811837714032,"spillover",0.067741099249434,0.662
0,0.65,0.231049060186648,"spillover",0.0698811845917327,0.686
0,0.65,0.998577424517997,"spillover",0.0701089650202937,0.636
0,0.7,0.0743811837714032,"spillover",0.0590086856722755,0.692
0,0.7,0.231049060186648,"spillover",0.0561736211057032,0.682
