"","size","prop_ss","mean_prev"
"241",450,0.45,0.586498969154741
"242",450,0.5,0.609119833128277
"243",450,0.55,0.635014863419057
"244",450,0.6,0.635982616286493
"245",450,0.65,0.662708054805529
"246",450,0.7,0.685794691602195
"247",450,0.75,0.700920499435214
"248",450,0.8,0.721477256919837
"249",450,0.85,0.731918386654845
"250",450,0.9,0.739246924493413
"251",450,0.95,0.754409008655672
"252",450,1,0.785044610429209
"253",487.5,0,0.32348131952969
"254",487.5,0.05,0.365414498711458
"255",487.5,0.1,0.407954939462976
"256",487.5,0.15,0.438323464078854
"257",487.5,0.2,0.475804007571272
"258",487.5,0.25,0.494760573072218
"259",487.5,0.3,0.546200786826279
"260",487.5,0.35,0.544851555748437
"261",487.5,0.4,0.593426797864634
"262",487.5,0.45,0.612189597129809
"263",487.5,0.5,0.645428525104696
"264",487.5,0.55,0.647515794449705
"265",487.5,0.6,0.666566812446752
"266",487.5,0.65,0.693654920403209
"267",487.5,0.7,0.726314640054013
"268",487.5,0.75,0.72121538321085
"269",487.5,0.8,0.742518151952044
"270",487.5,0.85,0.752667386951285
"271",487.5,0.9,0.765537565994671
"272",487.5,0.95,0.779114679155955
"273",487.5,1,0.80317974448738
"274",525,0,0.340819573339456
"275",525,0.05,0.402071099650371
"276",525,0.1,0.427238361291806
"277",525,0.15,0.47056589023208
"278",525,0.2,0.493216024731874
"279",525,0.25,0.533085869014637
"280",525,0.3,0.577146917573867
"281",525,0.35,0.577004984108011
"282",525,0.4,0.619973542250005
"283",525,0.45,0.649865904637747
"284",525,0.5,0.665301918158222
"285",525,0.55,0.680679676703337
"286",525,0.6,0.70852413049988
"287",525,0.65,0.710811828520191
"288",525,0.7,0.745879359945991
"289",525,0.75,0.747286604586777
"290",525,0.8,0.748077484297795
"291",525,0.85,0.790632009361604
"292",525,0.9,0.792749069891265
"293",525,0.95,0.791874844683575
"294",525,1,0.833271974498053
"295",562.5,0,0.346284232788175
"296",562.5,0.05,0.403952468271346
"297",562.5,0.1,0.44343163373014
"298",562.5,0.15,0.490630781599424
"299",562.5,0.2,0.516148470418632
"300",562.5,0.25,0.563440371202316
"301",562.5,0.3,0.589425578798061
"302",562.5,0.35,0.608427159651655
"303",562.5,0.4,0.635677088368385
"304",562.5,0.45,0.646959260055799
"305",562.5,0.5,0.690355481439792
"306",562.5,0.55,0.704078400227583
"307",562.5,0.6,0.721407694276288
"308",562.5,0.65,0.730529300478855
"309",562.5,0.7,0.759995488311595
"310",562.5,0.75,0.753611916472704
"311",562.5,0.8,0.786050051059026
"312",562.5,0.85,0.796359412987748
"313",562.5,0.9,0.813080250803087
"314",562.5,0.95,0.822827685003216
"315",562.5,1,0.850504524173245
"316",600,0,0.397778625238195
"317",600,0.05,0.436559037972019
"318",600,0.1,0.481967488910805
"319",600,0.15,0.498298600790522
"320",600,0.2,0.526851881043653
"321",600,0.25,0.571418924255215
"322",600,0.3,0.610906956785322
"323",600,0.35,0.625942910623565
"324",600,0.4,0.672726617190855
"325",600,0.45,0.699212936274061
"326",600,0.5,0.700364632076466
"327",600,0.55,0.712232872926706
"328",600,0.6,0.763520766907119
"329",600,0.65,0.753819398127692
"330",600,0.7,0.778970599391483
"331",600,0.75,0.791023421652855
"332",600,0.8,0.820284473082514
"333",600,0.85,0.81838576860028
"334",600,0.9,0.828716199777843
"335",600,0.95,0.848508900434965
"336",600,1,0.857523946848685
"337",637.5,0,0.401377461256947
"338",637.5,0.05,0.447430733136952
"339",637.5,0.1,0.503500661515473
"340",637.5,0.15,0.535570009300246
"341",637.5,0.2,0.55858319582831
"342",637.5,0.25,0.597315395238362
"343",637.5,0.3,0.615652231139664
"344",637.5,0.35,0.658028506441185
"345",637.5,0.4,0.661097396998155
"346",637.5,0.45,0.69946052354281
"347",637.5,0.5,0.711978531772353
"348",637.5,0.55,0.731778668890733
"349",637.5,0.6,0.770234907872892
"350",637.5,0.65,0.777245368449712
"351",637.5,0.7,0.787280941643389
"352",637.5,0.75,0.811318838267735
"353",637.5,0.8,0.828054262142815
"354",637.5,0.85,0.850029700662996
"355",637.5,0.9,0.844872570061598
"356",637.5,0.95,0.856732891428421
"357",637.5,1,0.864826949833002
"358",675,0,0.401475656671308
"359",675,0.05,0.4701141209349
"360",675,0.1,0.509348146030401
"361",675,0.15,0.547008246387167
"362",675,0.2,0.604445267144644
"363",675,0.25,0.614954486142115
"364",675,0.3,0.659629172338718
"365",675,0.35,0.672862719290986
"366",675,0.4,0.685823701347897
"367",675,0.45,0.737415474888599
"368",675,0.5,0.7409768043323
"369",675,0.55,0.7563147460012
"370",675,0.6,0.767989923604391
"371",675,0.65,0.794977927335555
"372",675,0.7,0.811079992358189
"373",675,0.75,0.815893533883985
"374",675,0.8,0.834410700825052
"375",675,0.85,0.83944415647198
"376",675,0.9,0.865608196199292
"377",675,0.95,0.877470142748462
"378",675,1,0.877676289922673
"379",712.5,0,0.433434112184328
"380",712.5,0.05,0.462308735149803
"381",712.5,0.1,0.539822373285614
"382",712.5,0.15,0.572519887155331
"383",712.5,0.2,0.617227457337605
"384",712.5,0.25,0.632276932433459
"385",712.5,0.3,0.665500202503501
"386",712.5,0.35,0.690113302699548
"387",712.5,0.4,0.71171971300476
"388",712.5,0.45,0.74453696544211
"389",712.5,0.5,0.754604687777617
"390",712.5,0.55,0.780909593269926
"391",712.5,0.6,0.797842384466003
"392",712.5,0.65,0.804418169865627
"393",712.5,0.7,0.838255646486535
"394",712.5,0.75,0.832760831285671
"395",712.5,0.8,0.847488572898535
"396",712.5,0.85,0.871984102405915
"397",712.5,0.9,0.88434944040447
"398",712.5,0.95,0.901205916121893
"399",712.5,1,0.889315522928679
"400",750,0,0.469252329559947
"401",750,0.05,0.499054734983389
"402",750,0.1,0.536602935993293
"403",750,0.15,0.578018646309142
"404",750,0.2,0.626896613961549
"405",750,0.25,0.631953007431564
"406",750,0.3,0.666424292354257
"407",750,0.35,0.704988958706641
"408",750,0.4,0.725419207715773
"409",750,0.45,0.747030460473034
"410",750,0.5,0.749987905949585
"411",750,0.55,0.788170342924437
"412",750,0.6,0.793114501069356
"413",750,0.65,0.820714215881687
"414",750,0.7,0.829234372316703
"415",750,0.75,0.84432911153492
"416",750,0.8,0.859418835579774
"417",750,0.85,0.882104360027224
"418",750,0.9,0.881598628459988
"419",750,0.95,0.896179270598431
"420",750,1,0.910224733065788
