"","size","prop_ss","phi","mean_prev","fadeout"
"1",250,0,1,0.177889971913591,0.274
"2",250,0,2.63333333333333,0.168326172929351,0.272
"3",250,0,4.26666666666667,0.163923811032231,0.294
"4",250,0,5.9,0.173325159794603,0.332
"5",250,0,7.53333333333333,0.17418028601966,0.282
"6",250,0,9.16666666666667,0.160061982561999,0.286
"7",250,0,10.8,0.167368155904756,0.258
"8",250,0,12.4333333333333,0.171795063940258,0.308
"9",250,0,14.0666666666667,0.173758916492551,0.282
"10",250,0,15.7,0.17261210936964,0.28
"11",250,0,17.3333333333333,0.179470512069879,0.256
"12",250,0,18.9666666666667,0.178445456892666,0.28
"13",250,0,20.6,0.182061526493196,0.268
"14",250,0,22.2333333333333,0.18652238117408,0.278
"15",250,0,23.8666666666667,0.171806602102942,0.304
"16",250,0,25.5,0.181243299189965,0.298
"17",250,0,27.1333333333333,0.164813575472253,0.31
"18",250,0,28.7666666666667,0.178531202699607,0.266
"19",250,0,30.4,0.178737832877412,0.274
"20",250,0,32.0333333333333,0.175788633296883,0.306
"21",250,0,33.6666666666667,0.170655809815788,0.314
"22",250,0,35.3,0.171179862024627,0.296
"23",250,0,36.9333333333333,0.19385256039624,0.264
"24",250,0,38.5666666666667,0.160473628683267,0.318
"25",250,0,40.2,0.180095646227321,0.318
"26",250,0,41.8333333333333,0.1825534906029,0.284
"27",250,0,43.4666666666667,0.176499679765132,0.31
"28",250,0,45.1,0.177215366393046,0.278
"29",250,0,46.7333333333333,0.179329382834623,0.27
"30",250,0,48.3666666666667,0.182805116035229,0.27
"31",250,0,50,0.159532806053414,0.296
"32",250,0.0333333333333333,1,0.171365240035355,0.296
"33",250,0.0333333333333333,2.63333333333333,0.181289556329625,0.28
"34",250,0.0333333333333333,4.26666666666667,0.198539948279473,0.256
"35",250,0.0333333333333333,5.9,0.209071870440836,0.24
"36",250,0.0333333333333333,7.53333333333333,0.211789384097898,0.188
"37",250,0.0333333333333333,9.16666666666667,0.22053026663258,0.21
"38",250,0.0333333333333333,10.8,0.223447660600368,0.198
"39",250,0.0333333333333333,12.4333333333333,0.236449940044695,0.162
"40",250,0.0333333333333333,14.0666666666667,0.223293690562791,0.172
"41",250,0.0333333333333333,15.7,0.243812873282168,0.188
"42",250,0.0333333333333333,17.3333333333333,0.24597270555374,0.154
"43",250,0.0333333333333333,18.9666666666667,0.229798078992874,0.152
"44",250,0.0333333333333333,20.6,0.251104549237265,0.126
"45",250,0.0333333333333333,22.2333333333333,0.268106197325189,0.15
"46",250,0.0333333333333333,23.8666666666667,0.265196499084186,0.12
"47",250,0.0333333333333333,25.5,0.262707452871418,0.108
"48",250,0.0333333333333333,27.1333333333333,0.255848408276157,0.114
"49",250,0.0333333333333333,28.7666666666667,0.277529095869884,0.082
"50",250,0.0333333333333333,30.4,0.276868463756716,0.07
"51",250,0.0333333333333333,32.0333333333333,0.284829841800939,0.076
"52",250,0.0333333333333333,33.6666666666667,0.300048558091175,0.082
"53",250,0.0333333333333333,35.3,0.286285141762342,0.07
"54",250,0.0333333333333333,36.9333333333333,0.279811052914084,0.084
"55",250,0.0333333333333333,38.5666666666667,0.284487989428717,0.082
"56",250,0.0333333333333333,40.2,0.288872098711664,0.058
"57",250,0.0333333333333333,41.8333333333333,0.315724880877714,0.08
"58",250,0.0333333333333333,43.4666666666667,0.321483353553172,0.06
"59",250,0.0333333333333333,45.1,0.317565515255254,0.052
"60",250,0.0333333333333333,46.7333333333333,0.318786809673523,0.034
"61",250,0.0333333333333333,48.3666666666667,0.312560728276589,0.052
"62",250,0.0333333333333333,50,0.33272670703598,0.054
"63",250,0.0666666666666667,1,0.170638247580723,0.302
"64",250,0.0666666666666667,2.63333333333333,0.178465002005231,0.256
"65",250,0.0666666666666667,4.26666666666667,0.210304596809981,0.214
"66",250,0.0666666666666667,5.9,0.21644177571466,0.228
"67",250,0.0666666666666667,7.53333333333333,0.235892552924658,0.164
"68",250,0.0666666666666667,9.16666666666667,0.254168223358846,0.14
"69",250,0.0666666666666667,10.8,0.261595191587649,0.164
"70",250,0.0666666666666667,12.4333333333333,0.267036479545059,0.088
"71",250,0.0666666666666667,14.0666666666667,0.293734275633162,0.076
"72",250,0.0666666666666667,15.7,0.305697579167113,0.066
"73",250,0.0666666666666667,17.3333333333333,0.313771105858742,0.078
"74",250,0.0666666666666667,18.9666666666667,0.320422036573518,0.07
"75",250,0.0666666666666667,20.6,0.330419076184691,0.056
"76",250,0.0666666666666667,22.2333333333333,0.336966356711585,0.064
"77",250,0.0666666666666667,23.8666666666667,0.338051385025276,0.056
"78",250,0.0666666666666667,25.5,0.339258355359104,0.054
"79",250,0.0666666666666667,27.1333333333333,0.369493621796376,0.034
"80",250,0.0666666666666667,28.7666666666667,0.366967734440828,0.024
"81",250,0.0666666666666667,30.4,0.39296551192711,0.028
"82",250,0.0666666666666667,32.0333333333333,0.376103537228623,0.034
"83",250,0.0666666666666667,33.6666666666667,0.406530754745893,0.026
"84",250,0.0666666666666667,35.3,0.408451213045076,0.014
"85",250,0.0666666666666667,36.9333333333333,0.398497121555288,0.016
"86",250,0.0666666666666667,38.5666666666667,0.406534972662001,0.026
"87",250,0.0666666666666667,40.2,0.407180004927688,0.016
"88",250,0.0666666666666667,41.8333333333333,0.414210906579692,0.008
"89",250,0.0666666666666667,43.4666666666667,0.431978570667418,0.012
"90",250,0.0666666666666667,45.1,0.424432482065306,0
"91",250,0.0666666666666667,46.7333333333333,0.43861519771301,0.008
"92",250,0.0666666666666667,48.3666666666667,0.443078127753285,0.008
