"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0.05,0.5,0.95,"spillover",5.32378580297277e-05,1
0.05,0.55,0.2,"spillover",4.1987105285701e-05,1
0.05,0.55,0.5,"spillover",4.8207352159458e-05,1
0.05,0.55,0.95,"spillover",4.75977204037733e-05,0.998
0.05,0.6,0.2,"spillover",2.64973898476591e-05,1
0.05,0.6,0.5,"spillover",5.87494170214096e-05,0.998
0.05,0.6,0.95,"spillover",4.43288464956436e-05,0.998
0.05,0.65,0.2,"spillover",4.26566343530417e-05,1
0.05,0.65,0.5,"spillover",2.13523252027845e-05,0.998
0.05,0.65,0.95,"spillover",4.23315813812634e-05,0.998
0.05,0.7,0.2,"spillover",2.63208337582208e-05,1
0.05,0.7,0.5,"spillover",5.26315789473684e-06,1
0.05,0.7,0.95,"spillover",2.11662713607972e-05,0.998
0.05,0.75,0.2,"spillover",2.56527476073004e-05,0.998
0.05,0.75,0.5,"spillover",5.69899312747751e-05,1
0.05,0.75,0.95,"spillover",2.11006644472997e-05,0.998
0.05,0.8,0.2,"spillover",3.20247461828522e-05,1
0.05,0.8,0.5,"spillover",4.31149299416657e-05,1
0.05,0.8,0.95,"spillover",3.19636114728984e-05,1
0.05,0.85,0.2,"spillover",2.12831367713017e-05,1
0.05,0.85,0.5,"spillover",2.62332762756205e-05,0.998
0.05,0.85,0.95,"spillover",2.09167740397583e-05,0.998
0.05,0.9,0.2,"spillover",5.46448087431694e-06,1
0.05,0.9,0.5,"spillover",5.0761421319797e-06,1
0.05,0.9,0.95,"spillover",1.61397812713602e-05,1
0.05,0.95,0.2,"spillover",0,1
0.05,0.95,0.5,"spillover",2.64737847169289e-05,1
0.05,0.95,0.95,"spillover",5.249343832021e-06,1
0.05,1,0.2,"spillover",0,1
0.05,1,0.5,"spillover",0,1
0.05,1,0.95,"spillover",0,1
0.1,0,0.2,"spillover",0.000139058253543223,0.988
0.1,0,0.5,"spillover",8.53498259662855e-05,0.994
0.1,0,0.95,"spillover",0.000123478850872501,0.992
0.1,0.05,0.2,"spillover",0.000106323013240044,0.996
0.1,0.05,0.5,"spillover",0.000121698054838023,0.992
0.1,0.05,0.95,"spillover",8.62854557207794e-05,0.994
0.1,0.1,0.2,"spillover",9.07055545424356e-05,0.996
0.1,0.1,0.5,"spillover",0.000132769873379252,0.994
0.1,0.1,0.95,"spillover",7.50561714998657e-05,0.996
0.1,0.15,0.2,"spillover",8.00649847431577e-05,0.998
0.1,0.15,0.5,"spillover",6.44840583173838e-05,0.998
0.1,0.15,0.95,"spillover",9.73480227939875e-05,0.998
0.1,0.2,0.2,"spillover",8.54292932911963e-05,0.992
0.1,0.2,0.5,"spillover",6.43809768567336e-05,1
0.1,0.2,0.95,"spillover",6.92923707062963e-05,0.996
0.1,0.25,0.2,"spillover",4.72963961624247e-05,0.998
0.1,0.25,0.5,"spillover",0.000100588273874735,0.996
0.1,0.25,0.95,"spillover",8.05783071299649e-05,0.994
0.1,0.3,0.2,"spillover",5.83840455297148e-05,0.998
0.1,0.3,0.5,"spillover",7.43090622003278e-05,1
0.1,0.3,0.95,"spillover",7.46187186875681e-05,0.998
0.1,0.35,0.2,"spillover",8.04670549566108e-05,0.996
0.1,0.35,0.5,"spillover",7.5717811080247e-05,1
0.1,0.35,0.95,"spillover",5.33693247753135e-05,1
0.1,0.4,0.2,"spillover",9.57782993084075e-05,0.998
0.1,0.4,0.5,"spillover",7.94676299878042e-05,1
0.1,0.4,0.95,"spillover",6.47205689203688e-05,0.996
0.1,0.45,0.2,"spillover",6.31042108538823e-05,1
0.1,0.45,0.5,"spillover",6.40921723888775e-05,1
0.1,0.45,0.95,"spillover",9.67098564496859e-05,1
0.1,0.5,0.2,"spillover",4.26150272832198e-05,1
0.1,0.5,0.5,"spillover",8.11717613988634e-05,0.996
0.1,0.5,0.95,"spillover",4.12157485438124e-05,0.998
0.1,0.55,0.2,"spillover",4.29800830724397e-05,1
0.1,0.55,0.5,"spillover",5.45588143670093e-05,0.998
0.1,0.55,0.95,"spillover",7.49441324341598e-05,0.996
0.1,0.6,0.2,"spillover",6.44696466586229e-05,0.998
0.1,0.6,0.5,"spillover",7.02488313571607e-05,0.998
0.1,0.6,0.95,"spillover",5.9225104733748e-05,0.998
0.1,0.65,0.2,"spillover",6.98395481110831e-05,0.998
0.1,0.65,0.5,"spillover",4.28748857048925e-05,0.998
0.1,0.65,0.95,"spillover",3.20079093435744e-05,1
0.1,0.7,0.2,"spillover",4.2373849838896e-05,0.998
0.1,0.7,0.5,"spillover",5.41460766769574e-05,0.998
0.1,0.7,0.95,"spillover",3.82654947232089e-05,1
0.1,0.75,0.2,"spillover",2.72332286530161e-05,0.996
0.1,0.75,0.5,"spillover",0,1
0.1,0.75,0.95,"spillover",2.75894047681242e-05,1
0.1,0.8,0.2,"spillover",2.11785758707498e-05,0.998
0.1,0.8,0.5,"spillover",1.58734490957242e-05,0.998
0.1,0.8,0.95,"spillover",1.14124772076061e-05,1
0.1,0.85,0.2,"spillover",1.02211097204839e-05,1
0.1,0.85,0.5,"spillover",2.15300652562939e-05,0.998
0.1,0.85,0.95,"spillover",5.42005420054201e-06,1
0.1,0.9,0.2,"spillover",2.63104976109624e-05,1
0.1,0.9,0.5,"spillover",2.19238638208434e-05,0.998
0.1,0.9,0.95,"spillover",1.68969116227369e-05,1
0.1,0.95,0.2,"spillover",0,1
0.1,0.95,0.5,"spillover",0,1
0.1,0.95,0.95,"spillover",5.61797752808989e-06,0.998
0.1,1,0.2,"spillover",0,1
0.1,1,0.5,"spillover",0,1
0.1,1,0.95,"spillover",0,1
0.15,0,0.2,"spillover",6.3918583623105e-05,0.998
0.15,0,0.5,"spillover",0.000116788459396688,0.992
0.15,0,0.95,"spillover",8.59524116262222e-05,0.998
0.15,0.05,0.2,"spillover",0.00012458546986465,0.99
0.15,0.05,0.5,"spillover",0.000144467842809835,0.992
0.15,0.05,0.95,"spillover",0.000123888260604376,0.998
0.15,0.1,0.2,"spillover",7.4030848588641e-05,0.998
0.15,0.1,0.5,"spillover",0.000106122184024945,0.998
0.15,0.1,0.95,"spillover",9.67198227738371e-05,0.994
0.15,0.15,0.2,"spillover",9.07053619311768e-05,0.994
0.15,0.15,0.5,"spillover",9.70397163943257e-05,0.996
0.15,0.15,0.95,"spillover",9.64901398074928e-05,0.998
0.15,0.2,0.2,"spillover",8.06493384694053e-05,0.996
0.15,0.2,0.5,"spillover",9.10136908350342e-05,0.996
0.15,0.2,0.95,"spillover",8.69484823491971e-05,0.994
0.15,0.25,0.2,"spillover",6.36627572885649e-05,0.996
0.15,0.25,0.5,"spillover",0.000102872454100613,0.998
0.15,0.25,0.95,"spillover",8.00254857123843e-05,0.998
0.15,0.3,0.2,"spillover",4.16138550195966e-05,1
0.15,0.3,0.5,"spillover",6.33228386180779e-05,0.998
0.15,0.3,0.95,"spillover",5.28093788737616e-05,0.994
0.15,0.35,0.2,"spillover",5.37785027119304e-05,0.996
0.15,0.35,0.5,"spillover",0.000107068227740363,0.994
0.15,0.35,0.95,"spillover",8.68147454825624e-05,0.994
0.15,0.4,0.2,"spillover",5.26141777095373e-05,0.996
0.15,0.4,0.5,"spillover",8.46560345670016e-05,0.996
0.15,0.4,0.95,"spillover",5.85151366257276e-05,0.998
0.15,0.45,0.2,"spillover",5.88161377964748e-05,1
0.15,0.45,0.5,"spillover",0.000100020282551749,0.996
0.15,0.45,0.95,"spillover",3.25781295210961e-05,0.998
0.15,0.5,0.2,"spillover",8.4404437303452e-05,0.994
0.15,0.5,0.5,"spillover",4.73336600902265e-05,1
0.15,0.5,0.95,"spillover",5.91473324336218e-05,1
0.15,0.55,0.2,"spillover",5.32993566543362e-05,0.996
0.15,0.55,0.5,"spillover",6.33774176219433e-05,0.998
0.15,0.55,0.95,"spillover",2.69863825879535e-05,0.998
0.15,0.6,0.2,"spillover",2.12902095039966e-05,1
0.15,0.6,0.5,"spillover",7.01553414828074e-05,0.998
0.15,0.6,0.95,"spillover",3.64545442169842e-05,1
0.15,0.65,0.2,"spillover",5.30936090953932e-05,1
0.15,0.65,0.5,"spillover",5.95789558178186e-05,1
0.15,0.65,0.95,"spillover",3.77906699074352e-05,1
0.15,0.7,0.2,"spillover",2.63895868888612e-05,0.998
0.15,0.7,0.5,"spillover",2.72264731919162e-05,1
0.15,0.7,0.95,"spillover",3.1528453890492e-05,0.998
0.15,0.75,0.2,"spillover",2.12146874452887e-05,1
0.15,0.75,0.5,"spillover",1.57526360756856e-05,1
0.15,0.75,0.95,"spillover",2.6749323303495e-05,0.998
0.15,0.8,0.2,"spillover",2.66721254108018e-05,0.998
0.15,0.8,0.5,"spillover",5.52486187845304e-06,1
0.15,0.8,0.95,"spillover",3.28423642655933e-05,0.998
0.15,0.85,0.2,"spillover",5.16795865633075e-06,1
0.15,0.85,0.5,"spillover",1.06812686673304e-05,1
0.15,0.85,0.95,"spillover",1.58472874643087e-05,0.998
0.15,0.9,0.2,"spillover",1.65237186430311e-05,0.996
0.15,0.9,0.5,"spillover",5.52486187845304e-06,1
0.15,0.9,0.95,"spillover",4.79616306954436e-06,1
0.15,0.95,0.2,"spillover",5.40540540540541e-06,1
0.15,0.95,0.5,"spillover",5.0125313283208e-06,1
0.15,0.95,0.95,"spillover",1.04901354231113e-05,1
0.15,1,0.2,"spillover",0,1
0.15,1,0.5,"spillover",0,1
0.15,1,0.95,"spillover",0,1
0.2,0,0.2,"spillover",0.000121619251627483,0.998
0.2,0,0.5,"spillover",9.75851488933055e-05,0.998
0.2,0,0.95,"spillover",9.26777703174522e-05,0.996
0.2,0.05,0.2,"spillover",0.000144144257778462,1
0.2,0.05,0.5,"spillover",0.000104726562086523,0.992
0.2,0.05,0.95,"spillover",0.000112346751174781,0.996
0.2,0.1,0.2,"spillover",9.05444776621808e-05,0.996
0.2,0.1,0.5,"spillover",0.000118614450761395,0.996
0.2,0.1,0.95,"spillover",0.000101865824319484,0.998
0.2,0.15,0.2,"spillover",4.75236013201637e-05,0.996
0.2,0.15,0.5,"spillover",0.000107409711783683,0.998
0.2,0.15,0.95,"spillover",0.000106975112969208,0.994
0.2,0.2,0.2,"spillover",0.000101158501232568,0.996
0.2,0.2,0.5,"spillover",4.26368345700876e-05,1
0.2,0.2,0.95,"spillover",4.30497052937158e-05,0.996
0.2,0.25,0.2,"spillover",8.54835176130956e-05,0.998
0.2,0.25,0.5,"spillover",4.1942494110401e-05,0.996
0.2,0.25,0.95,"spillover",8.57337446859039e-05,1
0.2,0.3,0.2,"spillover",9.60596865557725e-05,0.998
0.2,0.3,0.5,"spillover",6.45649269401895e-05,0.996
0.2,0.3,0.95,"spillover",7.9235522531432e-05,0.994
0.2,0.35,0.2,"spillover",7.50881191132233e-05,1
0.2,0.35,0.5,"spillover",6.83229034491451e-05,0.998
0.2,0.35,0.95,"spillover",7.44879226495766e-05,0.998
0.2,0.4,0.2,"spillover",5.33444314345811e-05,0.998
0.2,0.4,0.5,"spillover",0.000102711475022613,0.998
0.2,0.4,0.95,"spillover",6.51113181897468e-05,1
0.2,0.45,0.2,"spillover",3.20435085306675e-05,0.998
0.2,0.45,0.5,"spillover",6.96557331578494e-05,0.998
0.2,0.45,0.95,"spillover",4.32384129057152e-05,0.998
0.2,0.5,0.2,"spillover",6.99219788452777e-05,0.996
0.2,0.5,0.5,"spillover",5.28585026751942e-05,1
0.2,0.5,0.95,"spillover",4.87316664502196e-05,0.998
0.2,0.55,0.2,"spillover",5.27287991431362e-05,1
0.2,0.55,0.5,"spillover",4.25711568153196e-05,1
0.2,0.55,0.95,"spillover",7.45489999909467e-05,0.996
0.2,0.6,0.2,"spillover",4.34802893172779e-05,0.998
0.2,0.6,0.5,"spillover",6.35171646226187e-05,1
0.2,0.6,0.95,"spillover",6.51071128447958e-05,1
0.2,0.65,0.2,"spillover",3.23360614064763e-05,1
0.2,0.65,0.5,"spillover",4.86643955739692e-05,0.996
0.2,0.65,0.95,"spillover",8.01694138753097e-05,1
0.2,0.7,0.2,"spillover",3.11707220124604e-05,1
0.2,0.7,0.5,"spillover",3.15398610104456e-05,1
0.2,0.7,0.95,"spillover",2.66891427908721e-05,1
0.2,0.75,0.2,"spillover",3.22727742973927e-05,0.998
0.2,0.75,0.5,"spillover",3.19618725458606e-05,1
0.2,0.75,0.95,"spillover",2.61903921968263e-05,1
0.2,0.8,0.2,"spillover",2.06049932159853e-05,0.998
0.2,0.8,0.5,"spillover",1.05614423753492e-05,1
0.2,0.8,0.95,"spillover",2.17090941473865e-05,0.996
0.2,0.85,0.2,"spillover",3.16834675343749e-05,0.998
0.2,0.85,0.5,"spillover",1.05680501458866e-05,1
0.2,0.85,0.95,"spillover",3.2457376915041e-05,1
0.2,0.9,0.2,"spillover",0,1
0.2,0.9,0.5,"spillover",1.61172328689823e-05,1
0.2,0.9,0.95,"spillover",2.09189820984469e-05,1
0.2,0.95,0.2,"spillover",1.59200277459313e-05,0.998
0.2,0.95,0.5,"spillover",0,1
0.2,0.95,0.95,"spillover",5.05050505050505e-06,1
0.2,1,0.2,"spillover",0,1
0.2,1,0.5,"spillover",0,1
0.2,1,0.95,"spillover",0,1
0.25,0,0.2,"spillover",0.000117312996829862,0.992
0.25,0,0.5,"spillover",0.000123138915545013,0.996
0.25,0,0.95,"spillover",0.000108439898150368,0.996
0.25,0.05,0.2,"spillover",0.000121757742828289,0.996
0.25,0.05,0.5,"spillover",0.000114742917838484,1
0.25,0.05,0.95,"spillover",0.000100857051177084,0.992
0.25,0.1,0.2,"spillover",0.00010722599404284,0.996
