"size","prop_ss","mean_prev"
37.5,0,0.000495157788734729
37.5,0.05,0.00100192196495362
37.5,0.1,0.000747094189548969
37.5,0.15,0.00148334377796544
37.5,0.2,0.00154381858879537
37.5,0.25,0.00141672216327719
37.5,0.3,0.00157351656171015
37.5,0.35,0.00160652591678618
37.5,0.4,0.00192770716922352
37.5,0.45,0.0020391679606726
37.5,0.5,0.0024677304604128
37.5,0.55,0.00247027326010727
37.5,0.6,0.00292741497500359
37.5,0.65,0.00323476780016604
37.5,0.7,0.00315409791629734
37.5,0.75,0.00283628388012377
37.5,0.8,0.00379142909018168
37.5,0.85,0.00422722568345734
37.5,0.9,0.00339963638470641
37.5,0.95,0.0044228232070311
37.5,1,0.00497532198342501
75,0,0.000294422705859954
75,0.05,0.000452524093991609
75,0.1,0.00047943227230006
75,0.15,0.000568739863312052
75,0.2,0.000611914622724262
75,0.25,0.000804927930531093
75,0.3,0.000836032532802406
75,0.35,0.000972025049950242
75,0.4,0.000990604040005227
75,0.45,0.00124884680347843
75,0.5,0.00105073276350884
75,0.55,0.00133479096552126
75,0.6,0.00101653250557128
75,0.65,0.00135347774899108
75,0.7,0.00138449368038397
75,0.75,0.00149816788443402
75,0.8,0.00141673023092922
75,0.85,0.00137426935463485
75,0.9,0.00164620916811149
75,0.95,0.00183811974361219
75,1,0.00212113101338466
112.5,0,0.00028690035775654
112.5,0.05,0.000239425630430692
112.5,0.1,0.000312631632185777
112.5,0.15,0.000428071966860263
112.5,0.2,0.000502695260365177
112.5,0.25,0.000506210723961318
112.5,0.3,0.000474569439401013
112.5,0.35,0.000520237875121547
112.5,0.4,0.000576856804112451
112.5,0.45,0.000856714146308498
112.5,0.5,0.000633762860969206
112.5,0.55,0.000820938365292672
112.5,0.6,0.00100631186640852
112.5,0.65,0.00103496980430355
112.5,0.7,0.00103860672309158
112.5,0.75,0.000994058828669712
112.5,0.8,0.000889210328957239
112.5,0.85,0.000934598954538927
112.5,0.9,0.00103029103005848
112.5,0.95,0.00126400236294856
112.5,1,0.00127182933366781
150,0,0.000172325959117656
150,0.05,0.000180463566150429
150,0.1,0.000263365625705491
150,0.15,0.000292385344664635
150,0.2,0.00037701754374345
150,0.25,0.000354567722663337
150,0.3,0.000455782521280643
150,0.35,0.000445792383935988
150,0.4,0.00052681840436695
150,0.45,0.000513174304874329
150,0.5,0.000501357765558333
150,0.55,0.000477122410296928
150,0.6,0.00051781289527562
150,0.65,0.000529663648613473
150,0.7,0.000710864318263544
150,0.75,0.00084571991134704
150,0.8,0.000877860080690211
150,0.85,0.000955379846950624
150,0.9,0.00076765352412915
150,0.95,0.000876402363888662
150,1,0.000994894411061022
187.5,0,0.000114105330390208
