"size","pct_hunt","prev_ratio","fadeout"
225,0.7,0.15346313,1
225,0.75,0.239924286666667,1
225,0.8,0.19080187,1
225,0.85,0.215936666666667,1
225,0.9,0.182867766666667,1
225,0.95,0.229737186666667,1
225,1,0.28737408,1
250,0,0,0.996
250,0.05,0.0293355666666667,1
250,0.1,0.039825,1
250,0.15,0.107396666666667,0.998
250,0.2,0.05221111,1
250,0.25,0.0998694666666667,1
250,0.3,0.0929091233333333,1
250,0.35,0.0775945933333333,1
250,0.4,0.0624466766666667,1
250,0.45,0.1455172,1
250,0.5,0.174387846666667,1
250,0.55,0.158940816666667,1
250,0.6,0.180909843333333,1
250,0.65,0.223558343333333,1
250,0.7,0.18793531,1
250,0.75,0.109562726666667,1
250,0.8,0.22069779,1
250,0.85,0.204424453333333,1
250,0.9,0.20472555,1
250,0.95,0.276794533333333,1
250,1,0.212228323333333,1
275,0,0,1
275,0.05,0.0183233333333333,1
275,0.1,0.0309861133333333,1
275,0.15,0.04925254,1
275,0.2,0.0191633333333333,1
275,0.25,0.06373193,1
275,0.3,0.102175,0.998
275,0.35,0.04953132,1
275,0.4,0.109575703333333,1
275,0.45,0.11630109,1
275,0.5,0.174531096666667,1
275,0.55,0.147302763333333,1
275,0.6,0.2045439,1
275,0.65,0.181323776666667,0.998
275,0.7,0.178424636666667,0.998
275,0.75,0.223983323333333,1
275,0.8,0.162658343333333,1
275,0.85,0.337318623333333,1
275,0.9,0.228699033333333,1
275,0.95,0.299336636666667,1
275,1,0.312883353333333,1
300,0,0,1
300,0.05,0.01034111,1
300,0.1,0.0544309633333333,1
300,0.15,0.0895277666666667,1
300,0.2,0.159008876666667,1
300,0.25,0.0688042966666667,1
300,0.3,0.0303951866666667,1
300,0.35,0.132156123333333,1
300,0.4,0.116937476666667,0.998
300,0.45,0.0853094766666667,1
300,0.5,0.16242237,1
300,0.55,0.152751586666667,1
300,0.6,0.174262786666667,1
300,0.65,0.18746529,1
300,0.7,0.192319053333333,1
300,0.75,0.18615415,1
300,0.8,0.171213246666667,1
300,0.85,0.260866433333333,1
300,0.9,0.21996834,1
300,0.95,0.193330326666667,1
300,1,0.350680783333333,1
325,0,0,1
325,0.05,0.03201,1
325,0.1,0.00464762,1
325,0.15,0.08726906,1
325,0.2,0.04765286,1
325,0.25,0.102298333333333,1
325,0.3,0.118628016666667,1
325,0.35,0.128504576666667,1
325,0.4,0.117559613333333,1
325,0.45,0.167887686666667,1
325,0.5,0.178596993333333,1
325,0.55,0.11178286,1
325,0.6,0.214053766666667,1
325,0.65,0.28687452,1
325,0.7,0.23731686,0.998
