"size","prop_ss","mean_prev"
37.5,0,0.0494550394939542
37.5,0.05,0.05735653929504
37.5,0.1,0.0681065388654943
37.5,0.15,0.0699030477900873
37.5,0.2,0.0873884108756415
37.5,0.25,0.0941597367354998
37.5,0.3,0.115068296349614
37.5,0.35,0.114454692451685
37.5,0.4,0.122559222626111
37.5,0.45,0.135399699433348
37.5,0.5,0.134502309659022
37.5,0.55,0.143933457791388
37.5,0.6,0.155407934076571
37.5,0.65,0.16605123694302
37.5,0.7,0.171674257120342
37.5,0.75,0.182374921577619
37.5,0.8,0.188786825241263
37.5,0.85,0.202148167190685
37.5,0.9,0.21170963313556
37.5,0.95,0.211841097999231
37.5,1,0.228688383907207
75,0,0.0672510047126378
75,0.05,0.0801932447307878
75,0.1,0.0915660902729092
75,0.15,0.101041025341143
75,0.2,0.121719733470473
75,0.25,0.12616106318719
75,0.3,0.139038688271233
75,0.35,0.162189512882564
75,0.4,0.168654530921804
75,0.45,0.17249861429848
75,0.5,0.186629793990064
75,0.55,0.194639672958694
75,0.6,0.215355092198062
75,0.65,0.218637269482041
75,0.7,0.23464518003184
75,0.75,0.244459761796531
75,0.8,0.244302941469448
75,0.85,0.260193684166319
75,0.9,0.26755931311055
75,0.95,0.288545740284944
75,1,0.294698489665705
112.5,0,0.0824479289773128
112.5,0.05,0.0996109946172717
112.5,0.1,0.121191874476727
112.5,0.15,0.133789277352418
112.5,0.2,0.15276463619987
112.5,0.25,0.164065670943565
112.5,0.3,0.183402616323211
112.5,0.35,0.19531570355987
112.5,0.4,0.207899943207382
112.5,0.45,0.217928771518214
112.5,0.5,0.245519775344273
112.5,0.55,0.247149490525762
112.5,0.6,0.265556899159734
112.5,0.65,0.271142195202271
112.5,0.7,0.300160385878962
112.5,0.75,0.308190398779231
112.5,0.8,0.323720801345552
112.5,0.85,0.334762944802539
112.5,0.9,0.338605047100183
112.5,0.95,0.349234827988923
112.5,1,0.36100610443962
150,0,0.115048454148195
150,0.05,0.12916132100166
150,0.1,0.148568313549178
150,0.15,0.157603031493532
150,0.2,0.19649880496146
150,0.25,0.210506500377631
150,0.3,0.219695820005525
150,0.35,0.233432304235628
150,0.4,0.267517126774299
150,0.45,0.278463743728893
150,0.5,0.29340525835062
150,0.55,0.304182439087615
150,0.6,0.318035375528791
150,0.65,0.328194975428002
150,0.7,0.362058010084052
150,0.75,0.359254210331174
150,0.8,0.382842583100052
150,0.85,0.389053162828748
150,0.9,0.422464021793318
150,0.95,0.421053176447433
150,1,0.430828359943652
187.5,0,0.132299702823093
187.5,0.05,0.167543479100075
187.5,0.1,0.187952354800043
187.5,0.15,0.211914435433245
187.5,0.2,0.236106018108129
187.5,0.25,0.231801190616638
187.5,0.3,0.263632638196954
187.5,0.35,0.284033753101595
187.5,0.4,0.311534282159801
187.5,0.45,0.324774938752298
187.5,0.5,0.342839166133586
187.5,0.55,0.363753644949877
187.5,0.6,0.381627537435362
187.5,0.65,0.402438021062969
187.5,0.7,0.404554346888103
187.5,0.75,0.436946866375456
187.5,0.8,0.434960053158728
187.5,0.85,0.45948930875556
187.5,0.9,0.485003394330543
187.5,0.95,0.492011280870875
187.5,1,0.510410760838479
225,0,0.159116030878904
225,0.05,0.175281732450468
225,0.1,0.20791787452081
225,0.15,0.232988187794226
225,0.2,0.268700330782397
225,0.25,0.300006715222216
225,0.3,0.322296385224083
225,0.35,0.324653414394056
225,0.4,0.349294142918893
225,0.45,0.38565697729268
225,0.5,0.412912475524577
225,0.55,0.407502625385621
225,0.6,0.452829902689913
225,0.65,0.456915135752425
225,0.7,0.483785249612188
225,0.75,0.481799173124555
225,0.8,0.50116039743337
225,0.85,0.508691523327084
225,0.9,0.556450625356168
225,0.95,0.566120300462138
225,1,0.588916812522342
262.5,0,0.176789761149328
262.5,0.05,0.227285738697231
262.5,0.1,0.261013381850554
262.5,0.15,0.271717350289216
262.5,0.2,0.305868866152899
262.5,0.25,0.321584878275395
262.5,0.3,0.353635645232627
262.5,0.35,0.380247722440671
262.5,0.4,0.408334126010917
262.5,0.45,0.426678039201752
262.5,0.5,0.444017618083118
262.5,0.55,0.476459601837136
262.5,0.6,0.49829540319663
262.5,0.65,0.51402496825811
262.5,0.7,0.525162932293329
262.5,0.75,0.561022344254436
262.5,0.8,0.576036401367227
262.5,0.85,0.57806161270835
262.5,0.9,0.610243511075741
262.5,0.95,0.628649247752012
262.5,1,0.6234453117259
300,0,0.220475567473368
300,0.05,0.243132138104434
300,0.1,0.3058481510142
300,0.15,0.309391712314646
300,0.2,0.352971286619808
300,0.25,0.37087492059853
300,0.3,0.425860287260369
300,0.35,0.4226344982664
300,0.4,0.442614193529884
300,0.45,0.499543841375101
300,0.5,0.507069602290543
300,0.55,0.53646148969154
300,0.6,0.557105880833875
300,0.65,0.576252052404325
300,0.7,0.604139412092578
300,0.75,0.605858149161387
300,0.8,0.626516637852714
300,0.85,0.655693511375444
300,0.9,0.68032268448493
300,0.95,0.670553928745043
300,1,0.68048123353384
337.5,0,0.245679257850351
337.5,0.05,0.267727105054615
337.5,0.1,0.294778493751111
337.5,0.15,0.341107334175964
337.5,0.2,0.397871179033547
337.5,0.25,0.416887424525721
337.5,0.3,0.442593588112823
337.5,0.35,0.483815796466866
337.5,0.4,0.530416708677473
337.5,0.45,0.516071016251983
337.5,0.5,0.568396626251964
337.5,0.55,0.568265426431499
337.5,0.6,0.600702031609033
337.5,0.65,0.629089959913663
337.5,0.7,0.641511924162817
337.5,0.75,0.673629446128143
337.5,0.8,0.69286802374482
337.5,0.85,0.687392291763838
337.5,0.9,0.710779238607069
337.5,0.95,0.745447654049764
337.5,1,0.742314162321642
375,0,0.281270121247315
375,0.05,0.316843071281102
375,0.1,0.342292721639444
375,0.15,0.376431052409464
375,0.2,0.447696243163454
375,0.25,0.460977061666714
375,0.3,0.486362255156938
375,0.35,0.518240811748041
375,0.4,0.556291695414197
375,0.45,0.60514915312796
375,0.5,0.612912868684047
375,0.55,0.63164670903482
375,0.6,0.652790723168938
