"size","pct_hunt","prev_ratio","fadeout"
25,0,0,0.682
25,0.0170960104145021,0.004841528,0.724
25,0.0351164682028144,0.0106852176666667,0.688
25,0.0541670941982196,0.0147214798333333,0.68
25,0.0743728505422349,0.0182792187,0.698
25,0.0958829132246636,0.023456847,0.71
25,0.118877362571405,0.0322301661666667,0.684
25,0.14357635712942,0.0440493426333333,0.654
25,0.170252986440482,0.0424484709,0.716
25,0.199251728640242,0.0512765254666667,0.7
25,0.231015728519871,0.0540709911333333,0.724
25,0.266128493821359,0.0693300233333333,0.67
25,0.305380247707677,0.0896158431,0.66
25,0.349878809151909,0.0858811122,0.684
25,0.40124649940353,0.0948082081,0.704
25,0.461998135370297,0.1173365133,0.658
25,0.536345997470924,0.1166494687,0.704
25,0.632184492904714,0.131761289833333,0.7
25,0.767228499250403,0.1465462563,0.708
25,0.997944692090303,0.215257676,0.658
25,3.07011345732543,0.238718315733333,0.746
50,0,0,0.406
50,0.0170960104145021,0.008294993,0.44
50,0.0351164682028144,0.0173818537666667,0.454
50,0.0541670941982196,0.030387825,0.46
50,0.0743728505422349,0.0379433797666667,0.466
50,0.0958829132246636,0.0643171815333333,0.45
50,0.118877362571405,0.0601265659,0.468
50,0.14357635712942,0.0751543552666667,0.418
50,0.170252986440482,0.0933572700666667,0.472
50,0.199251728640242,0.101796149633333,0.472
50,0.231015728519871,0.125803967266667,0.438
50,0.266128493821359,0.146701437566667,0.44
50,0.305380247707677,0.1664181288,0.406
50,0.349878809151909,0.166789359866667,0.448
50,0.40124649940353,0.186703500466667,0.458
50,0.461998135370297,0.214694313,0.45
50,0.536345997470924,0.2393271962,0.464
50,0.632184492904714,0.2689733208,0.442
50,0.767228499250403,0.304190561033333,0.446
50,0.997944692090303,0.376501424766667,0.44
50,3.07011345732543,0.5580919869,0.454
75,0,0,0.45
75,0.0170960104145021,0.009720835,0.436
75,0.0351164682028144,0.0192843079333333,0.42
75,0.0541670941982196,0.0278259644,0.436
75,0.0743728505422349,0.0445945476666667,0.402
75,0.0958829132246636,0.0578564997,0.426
75,0.118877362571405,0.0594398382333333,0.476
75,0.14357635712942,0.0732440283333333,0.456
75,0.170252986440482,0.0896925773,0.45
75,0.199251728640242,0.113483426766667,0.452
75,0.231015728519871,0.136431374866667,0.42
75,0.266128493821359,0.139658038666667,0.424
75,0.305380247707677,0.150045507766667,0.444
75,0.349878809151909,0.167398705233333,0.418
75,0.40124649940353,0.197007558633333,0.42
75,0.461998135370297,0.234503608333333,0.416
75,0.536345997470924,0.236977132933333,0.468
75,0.632184492904714,0.297228184166667,0.418
75,0.767228499250403,0.335506517866667,0.432
75,0.997944692090303,0.356106558,0.446
75,3.07011345732543,0.547419522566667,0.448
100,0,0,0.24
100,0.0170960104145021,0.01193423,0.272
100,0.0351164682028144,0.022373244,0.286
100,0.0541670941982196,0.0429122770333333,0.276
