"size","pct_hunt","ss_cat","prev_ratio","fadeout"
83.3333333333333,0,"low",0,0
83.3333333333333,0,"med",0,0.005
83.3333333333333,0,"high",0,0
83.3333333333333,0.0555555555555556,"low",0.0470843983333333,0
83.3333333333333,0.0555555555555556,"med",0.0529999466666667,0
83.3333333333333,0.0555555555555556,"high",0.0561385088333333,0
83.3333333333333,0.111111111111111,"low",0.1169395455,0
83.3333333333333,0.111111111111111,"med",0.109459859333333,0
83.3333333333333,0.111111111111111,"high",0.0939934405,0
83.3333333333333,0.166666666666667,"low",0.150299184,0
83.3333333333333,0.166666666666667,"med",0.143432042333333,0
83.3333333333333,0.166666666666667,"high",0.168711864166667,0
83.3333333333333,0.222222222222222,"low",0.191498579,0
83.3333333333333,0.222222222222222,"med",0.197116609,0
83.3333333333333,0.222222222222222,"high",0.206594621833333,0
83.3333333333333,0.277777777777778,"low",0.245349818333333,0
83.3333333333333,0.277777777777778,"med",0.238969229666667,0
83.3333333333333,0.277777777777778,"high",0.260804583666667,0
83.3333333333333,0.333333333333333,"low",0.289414164166667,0
83.3333333333333,0.333333333333333,"med",0.278941246166667,0
83.3333333333333,0.333333333333333,"high",0.290979645166667,0
83.3333333333333,0.388888888888889,"low",0.3165766485,0
83.3333333333333,0.388888888888889,"med",0.3259024395,0
83.3333333333333,0.388888888888889,"high",0.322546057,0
83.3333333333333,0.444444444444444,"low",0.365737619333333,0
83.3333333333333,0.444444444444444,"med",0.357640919166667,0
83.3333333333333,0.444444444444444,"high",0.355639843833333,0
83.3333333333333,0.5,"low",0.395901616666667,0
83.3333333333333,0.5,"med",0.397316980166667,0
83.3333333333333,0.5,"high",0.381749465666667,0
166.666666666667,0,"low",0,0
166.666666666667,0,"med",0,0
166.666666666667,0,"high",0,0
166.666666666667,0.0555555555555556,"low",0.057106355,0
166.666666666667,0.0555555555555556,"med",0.0487288116666667,0
166.666666666667,0.0555555555555556,"high",0.0559005033333333,0
166.666666666667,0.111111111111111,"low",0.114604643333333,0
166.666666666667,0.111111111111111,"med",0.0949243533333333,0
166.666666666667,0.111111111111111,"high",0.105426533333333,0
166.666666666667,0.166666666666667,"low",0.150231626666667,0
166.666666666667,0.166666666666667,"med",0.1553967145,0
166.666666666667,0.166666666666667,"high",0.148813138333333,0
166.666666666667,0.222222222222222,"low",0.1881689065,0
166.666666666667,0.222222222222222,"med",0.186006012833333,0
166.666666666667,0.222222222222222,"high",0.191880496333333,0
166.666666666667,0.277777777777778,"low",0.250910000333333,0
166.666666666667,0.277777777777778,"med",0.238558630833333,0
166.666666666667,0.277777777777778,"high",0.239152530666667,0
166.666666666667,0.333333333333333,"low",0.275158541,0
166.666666666667,0.333333333333333,"med",0.2721542485,0
166.666666666667,0.333333333333333,"high",0.284077298166667,0
166.666666666667,0.388888888888889,"low",0.326058313833333,0
166.666666666667,0.388888888888889,"med",0.318553324666667,0
166.666666666667,0.388888888888889,"high",0.3208686255,0
166.666666666667,0.444444444444444,"low",0.361923283166667,0
166.666666666667,0.444444444444444,"med",0.360025978666667,0
166.666666666667,0.444444444444444,"high",0.355232639333333,0
166.666666666667,0.5,"low",0.398368058333333,0
166.666666666667,0.5,"med",0.387006693333333,0
166.666666666667,0.5,"high",0.37963125,0
250,0,"low",0,0
250,0,"med",0,0
250,0,"high",0,0
250,0.0555555555555556,"low",0.0498898483333333,0
250,0.0555555555555556,"med",0.0524849733333333,0
250,0.0555555555555556,"high",0.0594212933333333,0
250,0.111111111111111,"low",0.105338533833333,0
250,0.111111111111111,"med",0.1006033,0
250,0.111111111111111,"high",0.104886273333333,0
250,0.166666666666667,"low",0.152920563333333,0
250,0.166666666666667,"med",0.148866448333333,0
250,0.166666666666667,"high",0.152063266833333,0
250,0.222222222222222,"low",0.194938501666667,0
250,0.222222222222222,"med",0.1933626095,0
250,0.222222222222222,"high",0.198735500333333,0
250,0.277777777777778,"low",0.2483470345,0
250,0.277777777777778,"med",0.238104911666667,0
250,0.277777777777778,"high",0.236061003,0
250,0.333333333333333,"low",0.271915151333333,0
250,0.333333333333333,"med",0.271876905333333,0
250,0.333333333333333,"high",0.275907400333333,0
250,0.388888888888889,"low",0.303280013333333,0
250,0.388888888888889,"med",0.319561851166667,0
250,0.388888888888889,"high",0.305690920833333,0
250,0.444444444444444,"low",0.359677975333333,0
250,0.444444444444444,"med",0.3644814365,0
250,0.444444444444444,"high",0.3567735285,0
250,0.5,"low",0.383813945,0
250,0.5,"med",0.393948957,0
250,0.5,"high",0.384161825666667,0
333.333333333333,0,"low",0,0
333.333333333333,0,"med",0,0
333.333333333333,0,"high",0,0
333.333333333333,0.0555555555555556,"low",0.0528665016666667,0
333.333333333333,0.0555555555555556,"med",0.0589332421666667,0
333.333333333333,0.0555555555555556,"high",0.0548334326666667,0
333.333333333333,0.111111111111111,"low",0.1069091595,0
333.333333333333,0.111111111111111,"med",0.0989915683333333,0
333.333333333333,0.111111111111111,"high",0.108298873333333,0
333.333333333333,0.166666666666667,"low",0.144155352333333,0
333.333333333333,0.166666666666667,"med",0.157174101333333,0
333.333333333333,0.166666666666667,"high",0.155864670666667,0
333.333333333333,0.222222222222222,"low",0.189020780166667,0
333.333333333333,0.222222222222222,"med",0.199753577666667,0
333.333333333333,0.222222222222222,"high",0.203531485833333,0
333.333333333333,0.277777777777778,"low",0.252011033,0
333.333333333333,0.277777777777778,"med",0.2247582745,0
333.333333333333,0.277777777777778,"high",0.261186437833333,0
333.333333333333,0.333333333333333,"low",0.289283763166667,0
333.333333333333,0.333333333333333,"med",0.274963551833333,0
