"","size","pct_hunt","prev_ratio","fadeout"
"1",25,0,0,0.693333333333333
"2",25,0.05,0.0156332296666667,0.626666666666667
"3",25,0.1,0.0336676477777778,0.636666666666667
"4",25,0.15,0.0454012052222222,0.686666666666667
"5",25,0.2,0.0578041241666667,0.663333333333333
"6",25,0.25,0.0589416359444444,0.713333333333333
"7",25,0.3,0.0732265780555556,0.703333333333333
"8",25,0.35,0.101264987555556,0.63
"9",25,0.4,0.102901183888889,0.66
"10",25,0.45,0.0966500673888889,0.72
"11",25,0.5,0.118532840111111,0.693333333333333
"12",25,0.55,0.125824973222222,0.683333333333333
"13",25,0.6,0.141816883,0.673333333333333
"14",25,0.65,0.134482269222222,0.71
"15",25,0.7,0.176543229166667,0.623333333333333
"16",25,0.75,0.1637885055,0.686666666666667
"17",25,0.8,0.150414233611111,0.716666666666667
"18",25,0.85,0.173904604888889,0.69
"19",25,0.9,0.156957009555556,0.726666666666667
"20",25,0.95,0.187628283833333,0.69
"21",25,1,0.178691340555556,0.693333333333333
"22",50,0,0,0.466666666666667
"23",50,0.05,0.0277715166666667,0.436666666666667
"24",50,0.1,0.0622171678333333,0.42
"25",50,0.15,0.0805810897777778,0.486666666666667
"26",50,0.2,0.0952962946666667,0.42
"27",50,0.25,0.127844087722222,0.44
"28",50,0.3,0.164151908722222,0.426666666666667
"29",50,0.35,0.164634048833333,0.463333333333333
"30",50,0.4,0.175746724555556,0.473333333333333
"31",50,0.45,0.193475696388889,0.486666666666667
"32",50,0.5,0.239994160111111,0.41
"33",50,0.55,0.224826078,0.513333333333333
"34",50,0.6,0.2494444345,0.46
"35",50,0.65,0.296308362944444,0.403333333333333
"36",50,0.7,0.301404432611111,0.416666666666667
"37",50,0.75,0.324195314555556,0.473333333333333
"38",50,0.8,0.345952212666667,0.45
"39",50,0.85,0.341962045777778,0.406666666666667
"40",50,0.9,0.333259637777778,0.456666666666667
"41",50,0.95,0.376586487722222,0.396666666666667
"42",50,1,0.373167035055556,0.46
"43",75,0,0,0.453333333333333
"44",75,0.05,0.0355572061111111,0.426666666666667
"45",75,0.1,0.047895032,0.456666666666667
"46",75,0.15,0.0785495028888889,0.446666666666667
"47",75,0.2,0.106083057888889,0.45
"48",75,0.25,0.130914542555556,0.44
"49",75,0.3,0.157381148055556,0.453333333333333
"50",75,0.35,0.178344523888889,0.383333333333333
"51",75,0.4,0.174671178944444,0.453333333333333
"52",75,0.45,0.213043075833333,0.413333333333333
"53",75,0.5,0.230126629944444,0.42
"54",75,0.55,0.239658525388889,0.446666666666667
"55",75,0.6,0.264369468722222,0.466666666666667
"56",75,0.65,0.266332308,0.47
"57",75,0.7,0.315319096444444,0.46
"58",75,0.75,0.306243876611111,0.453333333333333
"59",75,0.8,0.311138913722222,0.46
"60",75,0.85,0.329207763555556,0.46
"61",75,0.9,0.338295255111111,0.426666666666667
"62",75,0.95,0.312016381333333,0.503333333333333
"63",75,1,0.376605034277778,0.41
"64",100,0,0,0.303333333333333
"65",100,0.05,0.0341770016666667,0.326666666666667
"66",100,0.1,0.0652050410555556,0.296666666666667
"67",100,0.15,0.113446072666667,0.253333333333333
"68",100,0.2,0.137072825888889,0.306666666666667
"69",100,0.25,0.156423229277778,0.323333333333333
"70",100,0.3,0.180598019444444,0.273333333333333
"71",100,0.35,0.217594861111111,0.29
"72",100,0.4,0.227065690611111,0.326666666666667
"73",100,0.45,0.293375000388889,0.26
"74",100,0.5,0.297008883666667,0.29
"75",100,0.55,0.312075463722222,0.276666666666667
"76",100,0.6,0.345436827388889,0.266666666666667
"77",100,0.65,0.367952306666667,0.256666666666667
"78",100,0.7,0.364445583833333,0.323333333333333
"79",100,0.75,0.385865429833333,0.313333333333333
"80",100,0.8,0.375927340722222,0.316666666666667
"81",100,0.85,0.393401893222222,0.296666666666667
"82",100,0.9,0.471604313333333,0.276666666666667
"83",100,0.95,0.445500691388889,0.273333333333333
"84",100,1,0.480890532666667,0.283333333333333
"85",125,0,0,0.17
"86",125,0.05,0.039210605,0.163333333333333
"87",125,0.1,0.0738098465,0.166666666666667
"88",125,0.15,0.111951246055556,0.163333333333333
"89",125,0.2,0.170263026333333,0.163333333333333
