"size","pct_hunt","prev_ratio","fadeout"
200,0.65,0.435361901766667,0.114
200,0.7,0.475476995766667,0.12
200,0.75,0.452930945166667,0.14
200,0.8,0.50365822,0.126
200,0.85,0.510007243633333,0.124
200,0.9,0.5325314567,0.108
200,0.95,0.564331017033333,0.13
200,1,0.576966217966667,0.132
225,0,0,0.072
225,0.05,0.041515138,0.084
225,0.1,0.0902261583,0.074
225,0.15,0.1279523878,0.066
225,0.2,0.170703807833333,0.076
225,0.25,0.2042604012,0.054
225,0.3,0.256539925433333,0.06
225,0.35,0.301993162333333,0.082
225,0.4,0.307996361366667,0.072
225,0.45,0.338812393366667,0.08
225,0.5,0.365548056433333,0.07
225,0.55,0.384371155233333,0.086
225,0.6,0.4197781931,0.074
225,0.65,0.454707805733333,0.07
225,0.7,0.484004020666667,0.074
225,0.75,0.477009629633333,0.088
225,0.8,0.511339247466667,0.084
225,0.85,0.536250628033333,0.07
225,0.9,0.553828644866667,0.076
225,0.95,0.588302088533333,0.066
225,1,0.575321756233333,0.072
250,0,0,0.06
250,0.05,0.046630942,0.036
250,0.1,0.0883794070666667,0.044
250,0.15,0.127294917466667,0.056
250,0.2,0.177728482566667,0.054
250,0.25,0.208584545933333,0.05
250,0.3,0.2425684759,0.056
250,0.35,0.2765255697,0.06
250,0.4,0.308412904066667,0.07
250,0.45,0.335109744033333,0.052
250,0.5,0.3697021884,0.05
250,0.55,0.416576138366667,0.042
250,0.6,0.432500630133333,0.044
250,0.65,0.4534978112,0.044
250,0.7,0.466254109,0.068
250,0.75,0.514501400433333,0.044
250,0.8,0.5148247824,0.068
250,0.85,0.541305178033333,0.056
250,0.9,0.5506112616,0.066
250,0.95,0.579720130166667,0.038
250,1,0.599417502066667,0.058
275,0,0,0.058
275,0.05,0.0452998149,0.04
275,0.1,0.103684298566667,0.042
275,0.15,0.133305721333333,0.048
275,0.2,0.178520234633333,0.034
275,0.25,0.2048774777,0.044
275,0.3,0.2520515255,0.036
275,0.35,0.266813410333333,0.074
275,0.4,0.326821493066667,0.058
275,0.45,0.356961546966667,0.062
275,0.5,0.372364547766667,0.05
275,0.55,0.422307067666667,0.05
275,0.6,0.4260277999,0.052
275,0.65,0.447951006233333,0.048
275,0.7,0.484116472133333,0.074
275,0.75,0.496932883933333,0.054
275,0.8,0.523600405766667,0.046
275,0.85,0.5429220331,0.046
275,0.9,0.585685988666667,0.036
275,0.95,0.577550742366667,0.066
275,1,0.6135942962,0.038
300,0,0,0.04
300,0.05,0.0460851375666667,0.028
